iter	Passed	Remaining
587	98868	153347
588	99084	153252
589	99271	153113
590	99465	152985
591	99621	152798
592	99814	152666
593	99993	152516
594	100181	152377
595	100364	152230
596	100540	152074
597	100708	151904
598	100884	151747
599	101068	151602
600	101242	151442
601	101444	151324
602	101621	151168
603	101790	150999
604	101968	150846
605	102152	150700
606	102334	150551
607	102513	150398
608	102712	150273
609	102900	150133
610	103064	149958
611	103241	149801
612	103414	149638
613	103577	149462
614	103737	149280
615	103905	149110
616	104067	148932
617	104232	148759
618	104398	148586
619	104588	148447
620	104771	148300
621	104969	148171
622	105152	148023
623	105348	147893
624	105518	147725
625	105698	147572
626	105884	147427
627	106056	147263
628	106236	147110
629	106402	146936
630	106581	146782
631	106732	146588
632	106899	146416
633	107067	146246
634	107258	146107
635	107415	145923
636	107611	145791
637	107776	145616
638	107960	145467
639	108132	145302
640	108294	145124
641	108477	144973
642	108704	144882
643	108868	144707
644	109035	144534
645	109199	144359
646	109377	144201
647	109544	144031
648	109729	143883
649	109924	143747
650	110120	143613
651	110317	143479
652	110489	143314
653	110672	143164
654	110838	142990
655	111009	142822
656	111177	142652
657	111349	142487
658	111508	142304
659	111699	142162
660	111899	142032
661	112070	141866
662	112227	141680
663	112414	141534
664	112574	141352
665	112763	141208
666	112954	141066
667	113116	140888
668	113302	140739
669	113480	140580
670	113666	140431
671	113828	140253
672	114021	140111
673	114209	139966
674	114385	139804
675	114565	139647
676	114741	139486
677	114908	139313
678	115085	139153
679	115272	139005
680	115458	138855
681	115644	138706
682	115817	138539
683	115986	138370
684	116137	138177
685	116327	138032
686	116530	137902
687	116707	137742
688	116900	137599
689	117078	137439
690	117225	137243
691	117399	137079
692	117569	136909
693	117764	136770
694	117938	136604
695	118117	136445
696	118298	136289
697	118466	136117
698	118648	135962
699	118825	135800
700	119002	135638
701	119202	135503
702	119377	135340
703	119559	135183
704	119746	135033
705	119906	134851
706	120109	134719
707	120288	134559
708	120483	134417
709	120669	134266
710	120847	134105
711	121016	133934
712	121191	133770
713	121374	133613
714	121565	133467
715	121735	133296
716	121894	133114
717	122054	132934
718	122226	132766
719	122418	132619
720	122608	132471
721	122790	132314
722	122977	132162
723	123171	132018
724	123349	131856
725	123507	131673
726	123699	131526
727	123878	131365
728	124055	131202
729	124230	131038
730	124413	130881
731	124599	130727
732	124773	130561
733	124973	130422
734	125143	130251
735	125321	130089
736	125498	129925
737	125665	129752
738	125822	129568
739	125994	129399
740	126158	129223
741	126328	129052
742	126511	128895
743	126691	128735
744	126861	128563
745	127051	128413
746	127208	128230
747	127383	128065
748	127536	127876
749	127694	127694
750	127858	127518
751	128039	127358
752	128211	127190
753	128360	126998
754	128554	126851
755	128730	126687
756	128917	126533
757	129092	126367
758	129259	126193
759	129435	126029
760	129600	125853
761	129778	125690
762	129962	125533
763	130147	125377
764	130336	125225
765	130520	125068
766	130693	124900
767	130844	124710
768	130992	124519
769	131148	124335
770	131307	124154
771	131477	123983
772	131651	123816
773	131827	123651
774	132011	123494
775	132186	123329
776	132368	123169
777	132546	123005
778	132734	122852
779	132920	122696
780	133095	122529
781	133238	122333
782	133426	122180
783	133607	122019
784	133783	121853
785	133964	121693
786	134118	121508
787	134266	121317
788	134452	121160
789	134620	120988
790	134798	120824
791	134985	120668
792	135139	120483
793	135320	120322
794	135505	120165
795	135680	119999
796	135846	119824
797	136030	119665
798	136206	119500
799	136364	119319
800	136546	119158
801	136714	118986
802	136887	118817
803	137091	118676
804	137284	118524
805	137478	118374
806	137645	118201
807	137807	118022
808	137990	117863
809	138147	117680
810	138304	117498
811	138487	117339
812	138676	117183
813	138854	117019
814	139027	116851
815	139197	116680
816	139361	116504
817	139541	116341
818	139718	116176
819	139905	116019
820	140092	115862
821	140262	115691
822	140428	115516
823	140606	115351
824	140800	115200
825	140961	115021
826	141119	114840
827	141277	114660
828	141442	114485
829	141620	114320
830	141797	114154
831	141969	113985
832	142138	113812
833	142323	113653
834	142501	113489
835	142698	113339
836	142874	113173
837	143052	113007
838	143228	112841
839	143393	112666
840	143586	112512
841	143774	112355
842	143957	112194
843	144139	112032
844	144328	111876
845	144490	111698
846	144675	111538
847	144842	111365
848	145015	111195
849	145204	111038
850	145368	110862
851	145554	110703
852	145737	110541
853	145914	110375
854	146090	110208
855	146254	110032
856	146428	109864
857	146596	109691
858	146784	109532
859	146966	109370
860	147141	109202
861	147289	109014
862	147465	108847
863	147639	108678
864	147825	108519
865	148006	108356
866	148214	108211
867	148388	108042
868	148569	107879
869	148767	107728
870	148932	107553
871	149124	107397
872	149289	107221
873	149461	107051
874	149639	106885
875	149817	106719
876	149986	106546
877	150144	106366
878	150339	106212
879	150536	106060
880	150693	105878
881	150884	105722
882	151091	105576
883	151291	105424
884	151462	105253
885	151646	105091
886	151825	104925
887	151991	104750
888	152167	104583
889	152343	104414
890	152525	104251
891	152713	104091
892	152889	103923
893	153055	103749
894	153230	103580
895	153423	103423
896	153610	103263
897	153779	103090
898	153955	102922
899	154134	102756
900	154309	102587
901	154480	102416
902	154665	102253
903	154801	102059
904	154992	101900
905	155171	101734
906	155353	101570
907	155527	101401
908	155719	101243
909	155856	101049
910	156032	100881
911	156204	100711
912	156372	100537
913	156548	100369
914	156716	100195
915	156886	100023
916	157053	99849
917	157226	99679
918	157382	99498
919	157575	99340
920	157733	99161
921	157918	98998
922	158096	98831
923	158276	98665
924	158457	98500
925	158617	98322
926	158791	98152
927	158974	97988
928	159152	97821
929	159323	97649
930	159479	97469
931	159652	97299
932	159834	97134
933	160015	96968
