district,neighborhood,room,living room,area (m2),age,floor,price
Bakırköy,Şenlikköy Mah.,4,1,260,22,3,110000
Esenler,Tuna Mah.,2,1,75,1,2,23000
Sarıyer,Huzur Mah.,2,1,125,1,8,72500
Sarıyer,Maslak Mah.,3,1,180,11,16,85000
Çekmeköy,Mimar Sinan Mah.,2,1,90,21,2,23000
Üsküdar,Acıbadem Mah.,3,1,132,0,0,85890
Bahçelievler,Bahçelievler Mah.,3,1,170,3,2,75000
Şişli,Cumhuriyet Mah.,1,1,90,12,14,47500
Kağıthane,Merkez Mah.,1,1,58,11,10,35500
Şişli,İzzet Paşa Mah.,2,1,90,26,0,16000
Fatih,Sümbül Efendi Mah.,2,1,75,45,0,12750
Esenyurt,Koza Mah.,2,1,80,6,5,19500
Kağıthane,Ortabayır Mah.,1,1,60,30,5,10000
Beşiktaş,Nisbetiye Mah.,3,1,240,0,20,192000
Şişli,Cumhuriyet Mah.,1,1,82,2,7,48750
Beyoğlu,Hacıahmet Mah.,2,1,65,7,2,30000
Adalar,Maden Mah.,1,1,80,35,0,35000
Kağıthane,Emniyet Evleri Mah.,1,1,150,5,12,75000
Adalar,Burgazada Mah.,2,1,120,30,0,30000
Sarıyer,Ayazağa Mah.,1,0,55,4,2,37000
Kağıthane,Telsizler Mah.,1,1,70,21,3,22000
Avcılar,Cihangir Mah.,2,1,75,13,0,13000
Esenyurt,Mehmet Akif Ersoy Mah.,2,1,115,4,8,28000
Esenler,Turgut Reis Mah.,3,1,120,30,1,17000
Sarıyer,Maslak Mah.,2,1,110,11,17,75000
Ümraniye,Şerifali Mah.,1,1,90,10,13,35000
Bağcılar,Yenimahalle Mah.,1,1,85,24,-1,10000
Maltepe,Altıntepe Mah.,1,1,55,0,0,31000
Bahçelievler,Çobançeşme Mah.,3,1,120,0,2,30000
Eyüpsultan,Alibeyköy Mah.,4,1,140,5,2,39000
Beşiktaş,Ulus Mah.,2,1,200,18,1,245000
Sarıyer,Maslak Mah.,1,1,80,6,7,46999
Beşiktaş,Levent Mah.,3,1,280,5,21,155000
Avcılar,Merkez Mah.,2,1,100,25,1,20000
Zeytinburnu,Sümer Mah.,1,1,70,27,5,12000
Fatih,Ayvansaray Mah.,1,0,30,31,3,18000
Kağıthane,Harmantepe Mah.,2,1,90,3,4,30000
Bağcılar,Çınar Mah.,3,1,125,21,5,17000
Sarıyer,Huzur Mah.,3,1,148,2,4,90000
Kağıthane,Çeliktepe Mah.,2,1,87,4,14,35000
Sarıyer,Maslak Mah.,2,0,120,9,10,80000
Beşiktaş,Muradiye Mah.,1,1,40,31,1,25000
Beyoğlu,Hüseyinağa Mah.,1,1,50,50,3,27500
Gaziosmanpaşa,Karadeniz Mah.,2,1,160,6,2,39000
Sancaktepe,Sarıgazi Mah.,2,1,110,21,2,19500
Kadıköy,Acıbadem Mah.,3,1,178,5,3,76900
Şişli,Cumhuriyet Mah.,1,1,90,5,6,38000
Sarıyer,Büyükdere Mah.,1,1,100,20,1,15000
Kağıthane,Telsizler Mah.,1,0,30,4,3,18000
Esenler,Kazım Karabekir Mah.,2,1,100,15,1,17000
Fatih,Şehremini Mah.,2,1,80,36,2,15000
Üsküdar,Ünalan Mah.,2,1,90,28,2,20000
Arnavutköy,Arnavutköy Merkez Mah.,2,1,100,2,0,17000
Sarıyer,Büyükdere Mah.,2,1,80,5,2,45000
Bakırköy,Osmaniye Mah.,2,1,55,30,0,12400
Beyoğlu,Cihangir Mah.,4,1,165,35,1,60000
Adalar,Heybeliada Mah.,1,0,25,70,0,17000
Bakırköy,Şenlikköy Mah.,4,1,230,24,2,80000
Beylikdüzü,Kavaklı Mah.,2,1,100,5,3,20000
Sarıyer,Ferahevler Mah.,3,1,250,4,0,210000
Üsküdar,Ünalan Mah.,1,1,84,5,2,66000
Fatih,Sümbül Efendi Mah.,2,1,85,38,2,20000
Beykoz,Çubuklu Mah.,2,1,80,25,2,15000
Maltepe,Altayçeşme Mah.,2,1,95,26,0,24000
Sarıyer,Huzur Mah.,1,0,55,4,6,40000
Fatih,Seyyid Ömer Mah.,3,1,95,50,2,25000
Kadıköy,Caferağa Mah.,3,1,230,11,5,120000
Beşiktaş,Levent Mah.,2,1,250,5,14,140000
Fatih,Molla Gürani Mah.,2,1,84,44,2,25000
Şişli,Teşvikiye Mah.,2,1,140,0,6,110000
Pendik,Güzelyalı Mah.,5,1,250,26,4,28000
Büyükçekmece,Mimaroba Mah.,1,1,85,2,13,28000
Maltepe,Zümrütevler Mah.,2,1,100,0,0,40000
Kağıthane,Hamidiye Mah.,2,1,110,2,5,60000
Adalar,Nizam Mah.,2,1,90,26,0,250000
Büyükçekmece,Kumburgaz Mah.,2,1,90,20,3,25000
Başakşehir,Kayabaşı Mah.,2,1,146,7,5,35000
Sarıyer,Maslak Mah.,2,1,160,5,6,65000
Kağıthane,Gürsel Mah.,2,1,110,21,2,25000
Avcılar,Ambarlı Mah.,2,1,90,10,1,18000
Beyoğlu,Hüseyinağa Mah.,1,1,45,25,5,15000
Kadıköy,Fikirtepe Mah.,2,1,100,5,5,52600
Beyoğlu,Hacıahmet Mah.,2,1,65,5,2,48000
Bağcılar,15 Temmuz Mah.,1,1,58,7,11,27500
Bağcılar,Sancaktepe Mah.,4,2,195,11,4,30000
Sarıyer,Büyükdere Mah.,3,1,185,25,3,55000
Sarıyer,Büyükdere Mah.,3,1,150,29,2,90000
Şişli,Cumhuriyet Mah.,2,1,180,11,21,85000
Büyükçekmece,Çakmaklı Mah.,1,1,86,0,6,23000
Beykoz,Yalıköy Mah.,4,1,165,25,1,10000
Şişli,Mecidiyeköy Mah.,2,1,67,7,4,30000
Sarıyer,Zekeriyaköy Mah.,1,1,70,8,3,47500
Eyüpsultan,Emniyettepe Mah.,2,1,75,8,1,18750
Tuzla,Aydınlı Mah.,3,1,124,10,2,27500
Eyüpsultan,Merkez Mah.,1,1,60,5,1,25000
Bağcılar,100. Yıl Mah.,2,1,80,34,2,16000
Üsküdar,Zeynep Kamil Mah.,2,1,155,25,4,33000
Bahçelievler,Hürriyet Mah.,2,1,80,25,5,15000
Avcılar,Mustafa Kemal Paşa Mah.,2,1,85,5,1,7500
Şişli,Eskişehir Mah.,1,1,60,30,2,15000
Şişli,İnönü Mah.,2,1,100,35,1,17500
Küçükçekmece,Tevfik Bey Mah.,2,1,100,15,4,6500
Şişli,Bozkurt Mah.,1,1,58,12,1,36000
Ümraniye,Namık Kemal Mah.,2,1,65,4,1,33000
Üsküdar,Sultantepe Mah.,3,1,115,35,3,35000
Maltepe,Feyzullah Mah.,2,1,95,30,4,32000
Beşiktaş,Konaklar Mah.,2,1,90,4,14,34000
Kağıthane,Hamidiye Mah.,3,1,185,4,7,120000
Esenyurt,Piri Reis Mah.,2,1,140,8,2,14000
Sarıyer,Maslak Mah.,1,1,85,8,16,50000
Fatih,Haseki Sultan Mah.,1,1,55,50,0,14000
Bakırköy,Şenlikköy Mah.,1,1,60,0,0,38000
Şişli,Merkez Mah.,1,1,61,0,3,40000
Avcılar,Ambarlı Mah.,3,1,180,40,4,21000
Beylikdüzü,Yakuplu Mah.,1,1,65,5,2,28000
Maltepe,Cevizli Mah.,4,2,250,11,4,59000
Kağıthane,Hamidiye Mah.,3,1,183,0,6,100000
Beşiktaş,Abbasağa Mah.,1,0,70,26,0,20000
Fatih,Koca Mustafapaşa Mah.,1,1,70,45,-1,12000
Kağıthane,Merkez Mah.,1,1,68,0,4,20000
Şişli,Eskişehir Mah.,2,1,120,31,4,38000
Bakırköy,Şenlikköy Mah.,3,1,255,13,2,105000
Büyükçekmece,Atatürk Mah.,2,1,109,25,4,25000
Bakırköy,Şenlikköy Mah.,5,1,232,26,3,125000
Beşiktaş,Levent Mah.,2,1,250,5,15,150000
Üsküdar,Selami Ali Mah.,1,1,65,31,0,20000
Adalar,Nizam Mah.,2,1,80,35,0,35000
Sarıyer,Maslak Mah.,4,1,280,3,13,120000
Beylikdüzü,Kavaklı Mah.,3,1,135,5,2,25000
Bağcılar,Yavuz Selim Mah.,5,1,216,16,6,30000
Esenyurt,Talatpaşa Mah.,2,1,100,15,0,10000
Sarıyer,Maslak Mah.,4,1,280,10,11,150000
Esenyurt,Selahaddin Eyyubi Mah.,2,1,100,4,9,17000
Esenyurt,Zafer Mah.,2,1,85,8,1,18000
Eyüpsultan,Yeşilpınar Mah.,2,1,90,11,2,20500
Küçükçekmece,Atakent Mah.,2,1,84,17,3,26000
Avcılar,Merkez Mah.,2,1,80,25,5,14000
Güngören,Akıncılar Mah.,2,1,90,25,3,28000
Esenyurt,Yeşilkent Mah.,3,1,110,11,0,13000
Bağcılar,Yıldıztepe Mah.,2,1,90,7,-1,9500
Bağcılar,Kirazlı Mah.,1,1,65,26,2,13000
Şişli,Gülbahar Mah.,1,1,95,17,5,20000
Sarıyer,Maslak Mah.,3,1,220,5,16,140000
Bakırköy,Sakızağacı Mah.,5,1,363,2,1,220000
Beykoz,Yavuz Selim Mah.,3,1,120,20,2,5500
Şişli,Meşrutiyet Mah.,2,1,120,40,0,40000
Sarıyer,Maslak Mah.,3,1,160,10,6,75000
Fatih,Mevlanakapı Mah.,2,1,85,34,-1,20000
Adalar,Nizam Mah.,2,1,75,35,0,200000
Avcılar,Denizköşkler Mah.,3,1,150,30,2,14000
Kadıköy,Suadiye Mah.,4,1,285,25,3,160000
Beyoğlu,Kuloğlu Mah.,2,1,85,50,5,40000
Kadıköy,Bostancı Mah.,3,1,155,31,4,62000
Şişli,Gülbahar Mah.,1,1,40,5,1,18000
Sarıyer,Maslak Mah.,2,1,165,7,6,75000
Kartal,Cevizli Mah.,3,1,100,1,3,33000
Sarıyer,Demirciköy Mah.,1,1,65,6,2,50000
Beyoğlu,Şehit Muhtar Mah.,1,0,50,31,3,17000
Sarıyer,Maslak Mah.,3,1,180,5,9,75000
Ataşehir,Atatürk Mah.,1,1,70,11,20,43000
Avcılar,Gümüşpala Mah.,3,1,150,5,2,28000
Sarıyer,Maslak Mah.,4,1,250,10,8,125000
Şişli,Paşa Mah.,2,1,80,50,1,25000
Beykoz,Yalıköy Mah.,2,1,100,35,1,22000
Zeytinburnu,Seyitnizam Mah.,2,1,130,17,3,22000
Şişli,Mecidiyeköy Mah.,1,0,40,26,5,13000
Kağıthane,Telsizler Mah.,1,1,65,26,3,16500
Şişli,19 Mayıs Mah.,1,0,100,50,-1,13000
Beylikdüzü,Kavaklı Mah.,2,1,85,6,0,14000
Bahçelievler,Bahçelievler Mah.,3,1,180,0,2,85000
Beyoğlu,Ömer Avni Mah.,2,1,150,30,4,88000
Bakırköy,Şenlikköy Mah.,6,2,600,1,4,260000
Kağıthane,Yeşilce Mah.,2,1,86,9,2,25000
Beylikdüzü,Sahil Mah.,3,1,155,0,2,36000
Kağıthane,Emniyet Evleri Mah.,1,1,150,5,21,80000
Kağıthane,Yahya Kemal Mah.,1,1,70,31,5,18000
Beyoğlu,Kılıçali Paşa Mah.,2,1,75,0,0,55000
Beykoz,Kanlıca Mah.,1,1,75,21,1,14000
Beşiktaş,Sinanpaşa Mah.,1,0,70,4,2,34000
Esenler,Fevzi Çakmak Mah.,3,1,130,30,2,20000
Küçükçekmece,Gültepe Mah.,1,1,55,4,0,16000
Beşiktaş,Nisbetiye Mah.,2,1,221,0,20,268000
Esenyurt,Mehterçeşme Mah.,2,1,85,16,2,13000
Şişli,Merkez Mah.,3,1,150,50,4,40000
Silivri,Selimpaşa Mah.,2,1,90,0,1,19000
Fatih,Hırka-i Şerif Mah.,2,1,60,31,4,14000
Büyükçekmece,Fatih Mah.,2,1,125,30,4,19500
Başakşehir,Kayabaşı Mah.,2,1,80,10,9,25000
Sarıyer,Zekeriyaköy Mah.,3,1,200,4,0,100000
Avcılar,Cihangir Mah.,2,1,90,25,1,23000
Başakşehir,Bahçeşehir 2. Kısım Mah.,6,1,420,11,0,120000
Üsküdar,Altunizade Mah.,3,1,125,0,4,80000
Güngören,Tozkoparan Mah.,5,2,500,10,1,165000
Beşiktaş,Nisbetiye Mah.,3,1,221,0,16,260000
Fatih,Ayvansaray Mah.,1,1,40,50,0,10000
Ataşehir,Kayışdağı Mah.,1,0,30,14,1,20000
Beşiktaş,Yıldız Mah.,1,1,75,16,0,25000
Zeytinburnu,Maltepe Mah.,2,1,70,1,2,36999
Ataşehir,Kayışdağı Mah.,1,0,40,4,1,16000
Beylikdüzü,Kavaklı Mah.,3,1,135,5,2,22000
Pendik,Yenişehir Mah.,1,1,75,0,2,23000
Kadıköy,Caferağa Mah.,4,1,150,31,2,65000
Sarıyer,Maslak Mah.,1,1,85,10,20,60000
Bağcılar,Merkez Mah.,2,1,110,16,2,20000
Sarıyer,Zekeriyaköy Mah.,1,1,65,8,3,50000
Sarıyer,Huzur Mah.,1,1,99,5,6,50000
Beşiktaş,Dikilitaş Mah.,1,1,96,12,2,75000
Sarıyer,Maslak Mah.,1,1,75,10,9,59999
Kağıthane,Telsizler Mah.,2,1,85,10,1,24000
Zeytinburnu,Seyitnizam Mah.,2,1,105,28,3,12000
Beyoğlu,Kocatepe Mah.,2,1,140,30,2,21000
Fatih,Cerrahpaşa Mah.,2,1,650,40,1,18000
Kağıthane,Çağlayan Mah.,1,0,35,1,2,14000
Kağıthane,Emniyet Evleri Mah.,1,1,80,25,1,25000
Pendik,Batı Mah.,1,1,55,2,1,25000
Bakırköy,Şenlikköy Mah.,3,1,166,31,2,95000
Beyoğlu,Hüseyinağa Mah.,1,0,45,50,4,17000
Eyüpsultan,Çırçır Mah.,2,1,80,5,1,20500
Beyoğlu,Kocatepe Mah.,3,1,125,35,4,53000
Avcılar,Ambarlı Mah.,2,1,95,0,4,26000
Avcılar,Cihangir Mah.,3,1,140,12,2,24000
Beykoz,Anadolu Hisarı Mah.,1,1,60,20,2,20000
Beşiktaş,Levent Mah.,1,1,150,5,12,90000
Beykoz,Tokatköy Mah.,1,1,80,25,0,7000
Zeytinburnu,Sümer Mah.,3,0,140,30,4,7000
Beyoğlu,Kalyoncu Kulluğu Mah.,2,1,75,35,4,13500
Kağıthane,Çeliktepe Mah.,3,1,110,33,2,27500
Kağıthane,Hamidiye Mah.,1,1,68,5,1,20500
Bağcılar,Bağlar Mah.,2,1,90,10,5,16000
Esenler,Menderes Mah.,2,1,85,30,5,15000
Beykoz,Soğuksu Mah.,1,0,15,30,1,10000
Esenyurt,Mehmet Akif Ersoy Mah.,2,1,100,3,2,13000
Beşiktaş,Kültür Mah.,3,1,180,26,3,175000
Şişli,Teşvikiye Mah.,3,1,150,26,1,59000
Başakşehir,Bahçeşehir 2. Kısım Mah.,4,2,360,16,0,65000
Kadıköy,Suadiye Mah.,3,1,120,5,1,73700
Şişli,Cumhuriyet Mah.,1,1,90,12,21,53000
Bakırköy,Cevizlik Mah.,1,1,70,31,1,18000
Bahçelievler,Kocasinan Merkez Mah.,3,1,95,4,0,27500
Fatih,Ayvansaray Mah.,1,1,60,1,1,18500
Fatih,Koca Mustafapaşa Mah.,2,1,80,40,-1,17000
Şişli,Cumhuriyet Mah.,1,0,40,2,4,29000
Sarıyer,Maslak Mah.,3,1,170,10,10,75000
Kadıköy,Acıbadem Mah.,3,1,95,40,0,26000
Sarıyer,Çayırbaşı Mah.,3,1,120,27,2,105000
Kağıthane,Yahya Kemal Mah.,2,1,70,4,8,33000
Başakşehir,Kayabaşı Mah.,1,1,58,6,7,30000
Esenler,Turgut Reis Mah.,3,1,140,26,6,16000
Beşiktaş,Gayrettepe Mah.,2,1,178158,10,12,150000
Sarıyer,Huzur Mah.,1,1,65,3,15,47500
Şişli,Merkez Mah.,2,1,105,2,21,80000
Sarıyer,Maslak Mah.,3,1,218,8,21,125000
Sarıyer,Maslak Mah.,1,1,92,5,3,60000
Sarıyer,Maden Mah.,2,1,82,0,3,55000
Beşiktaş,Yıldız Mah.,2,1,100,26,2,45000
Adalar,Nizam Mah.,2,1,100,20,3,35000
Beşiktaş,Levent Mah.,2,1,260,5,21,150000
Beyoğlu,Katip Mustafa Çelebi Mah.,1,0,15,50,4,16000
Kağıthane,Çağlayan Mah.,2,1,85,4,1,27000
Beşiktaş,Etiler Mah.,2,1,130,45,1,50000
Küçükçekmece,Tevfik Bey Mah.,2,1,85,0,1,25000
Bahçelievler,Yenibosna Merkez Mah.,1,1,80,10,5,30000
Beylikdüzü,Adnan Kahveci Mah.,2,1,90,20,1,25000
Sarıyer,Yeniköy Mah.,1,1,120,30,0,25000
Başakşehir,Bahçeşehir 2. Kısım Mah.,3,1,134,30,6,37000
Beylikdüzü,Kavaklı Mah.,1,1,70,6,0,13000
Beykoz,Kavacık Mah.,4,1,220,11,8,60000
Pendik,Güzelyalı Mah.,3,1,120,21,3,18000
Kağıthane,Çeliktepe Mah.,3,1,100,25,2,10750
Bahçelievler,Cumhuriyet Mah.,2,1,80,0,-1,25000
Sarıyer,Tarabya Mah.,4,1,250,30,3,130000
Bahçelievler,Hürriyet Mah.,2,1,70,25,2,8000
Kağıthane,Şirintepe Mah.,3,1,33,10,-1,9500
Beykoz,Yeni Mahalle Mah.,1,1,80,15,4,17000
Kağıthane,Yahya Kemal Mah.,1,1,65,35,1,11000
Kağıthane,Merkez Mah.,1,1,66,5,1,20250
Esenler,Menderes Mah.,3,1,111,20,1,20000
Beykoz,Çubuklu Mah.,1,1,20,25,0,10000
Bakırköy,Şenlikköy Mah.,2,1,120,10,0,50000
Kağıthane,Talatpaşa Mah.,1,1,75,2,4,38500
Kartal,Esentepe Mah.,3,1,128,3,7,59490
Fatih,Balat Mah.,1,0,22,16,3,18000
Kadıköy,Osmanağa Mah.,1,0,35,0,4,34999
Avcılar,Cihangir Mah.,2,1,80,10,-1,13000
Beylikdüzü,Kavaklı Mah.,2,1,120,5,2,20000
Sarıyer,Maslak Mah.,3,1,180,10,6,75000
Kartal,Karlıktepe Mah.,2,1,95,25,1,25000
Eyüpsultan,Alibeyköy Mah.,4,1,160,5,2,40000
Pendik,Bahçelievler Mah.,3,1,115,38,1,32000
Şişli,Mecidiyeköy Mah.,3,1,125,31,1,30000
Beşiktaş,Levent Mah.,3,1,250,15,16,140000
Sarıyer,Huzur Mah.,2,1,145,6,21,75000
Şişli,Teşvikiye Mah.,3,1,220,35,2,75000
Sarıyer,Maden Mah.,2,1,90,20,5,20000
Gaziosmanpaşa,Yeni Mahalle Mah.,1,1,75,11,0,27500
Küçükçekmece,Cennet Mah.,2,1,100,10,4,6500
Şişli,Esentepe Mah.,1,1,120,15,21,90000
Ataşehir,Kayışdağı Mah.,2,1,70,12,0,25000
Beyoğlu,Gümüşsuyu Mah.,3,1,125,70,3,39000
Bağcılar,15 Temmuz Mah.,2,1,115,16,3,21000
Esenyurt,Çınar Mah.,3,1,140,8,0,10000
Küçükçekmece,Yeşilova Mah.,2,1,110,26,3,20000
Bakırköy,Şenlikköy Mah.,3,1,160,25,2,55000
Avcılar,Cihangir Mah.,2,1,95,25,1,17500
Üsküdar,Güzeltepe Mah.,1,1,70,0,0,26000
Kağıthane,Çağlayan Mah.,1,1,55,4,1,25000
Beyoğlu,Gümüşsuyu Mah.,2,1,80,12,0,41000
Üsküdar,Salacak Mah.,2,1,85,25,1,9000
Güngören,Merkez Mah.,3,1,100,35,0,13000
Beyoğlu,Çatma Mescit Mah.,1,1,35,40,2,14000
Fatih,Binbirdirek Mah.,3,1,80,40,-1,8000
Bahçelievler,Hürriyet Mah.,3,1,110,10,-1,10000
Pendik,Batı Mah.,2,1,100,15,3,5000
Esenyurt,Mehterçeşme Mah.,2,1,95,6,0,11000
Kağıthane,Yeşilce Mah.,2,1,80,6,2,25250
Kadıköy,Fenerbahçe Mah.,3,1,127,2,5,75990
Şişli,Cumhuriyet Mah.,1,1,90,1,21,45000
Kağıthane,Çeliktepe Mah.,1,1,70,30,4,15000
Fatih,Aksaray Mah.,1,1,75,45,3,15000
Sarıyer,Maslak Mah.,1,1,94,5,4,50000
Beylikdüzü,Kavaklı Mah.,1,1,70,5,5,12000
Avcılar,Tahtakale Mah.,2,1,116,5,14,29000
Esenyurt,Mehterçeşme Mah.,1,1,65,7,0,11000
Bağcılar,İnönü Mah.,1,2,100,26,2,15000
Sarıyer,Ayazağa Mah.,3,1,178,8,9,115000
Sarıyer,Maslak Mah.,3,1,170,10,6,83000
Sarıyer,Maslak Mah.,3,1,175,10,2,90000
Küçükçekmece,Kanarya Mah.,2,1,85,9,0,14000
Avcılar,Denizköşkler Mah.,2,1,100,7,2,7500
Beşiktaş,Kültür Mah.,1,1,100,10,9,140000
Sarıyer,Maslak Mah.,3,1,195,8,2,79999
Ataşehir,Kayışdağı Mah.,2,1,65,5,5,20000
Eyüpsultan,Göktürk Merkez Mah.,4,1,230,0,3,110000
Şişli,İnönü Mah.,2,1,196,8,2,95000
Esenler,Oruçreis Mah.,3,1,120,16,3,26000
Kadıköy,19 Mayıs Mah.,2,1,110,4,2,59500
Beykoz,Kavacık Mah.,2,1,80,21,2,22000
Beylikdüzü,Adnan Kahveci Mah.,3,1,135,7,1,25000
Şişli,Bozkurt Mah.,2,1,90,30,5,27000
Beyoğlu,Kamer Hatun Mah.,1,1,30,15,0,15000
Kadıköy,Acıbadem Mah.,2,0,90,25,1,15000
Kadıköy,Rasimpaşa Mah.,5,0,150,25,2,9500
Kartal,Topselvi Mah.,2,1,90,30,-3,16000
Esenler,Fatih Mah.,1,0,30,35,-1,5000
Kadıköy,Osmanağa Mah.,1,0,50,0,3,44999
Üsküdar,Aziz Mahmut Hüdayi Mah.,3,2,210,1,4,85000
Üsküdar,Aziz Mahmut Hüdayi Mah.,2,1,85,16,3,49990
Tuzla,İçmeler Mah.,3,1,133,30,6,15000
Büyükçekmece,Mimaroba Mah.,3,1,140,12,7,35000
Şişli,Mecidiyeköy Mah.,3,1,85,3,2,30000
Sarıyer,Maslak Mah.,1,1,75,5,21,55000
Beykoz,Kavacık Mah.,2,1,90,27,0,18500
Beyoğlu,Kuloğlu Mah.,3,1,120,70,-1,39000
Küçükçekmece,Beşyol Mah.,2,1,95,35,4,20000
Kağıthane,Sultan Selim Mah.,2,1,86,9,2,25000
Beykoz,Paşabahçe Mah.,1,1,70,30,1,15000
Beyoğlu,Firuzağa Mah.,1,1,55,25,4,25000
Bakırköy,Şenlikköy Mah.,4,3,160,31,2,75000
Sarıyer,Ayazağa Mah.,3,1,188,5,6,115000
Sarıyer,Maslak Mah.,3,1,170,10,21,78000
Beylikdüzü,Kavaklı Mah.,2,1,120,5,2,25000
Başakşehir,Kayabaşı Mah.,2,1,110,5,1,30000
Şişli,Feriköy Mah.,1,1,45,2,2,40000
Sarıyer,Maslak Mah.,3,1,177,8,9,75000
Ataşehir,Küçükbakkalköy Mah.,3,1,120,30,1,22500
Bağcılar,100. Yıl Mah.,3,1,85,23,0,10000
Beşiktaş,Yıldız Mah.,2,1,183,1,2,150000
Fatih,Cerrahpaşa Mah.,2,0,75,50,1,17000
Beylikdüzü,Marmara Mah.,6,2,420,3,0,75000
Bahçelievler,Bahçelievler Mah.,2,1,75,0,1,45000
Eyüpsultan,Göktürk Merkez Mah.,3,1,185,0,0,110000
Pendik,Fevzi Çakmak Mah.,3,1,120,31,1,15000
Şişli,Teşvikiye Mah.,2,1,140,1,4,120000
Beyoğlu,Hacıahmet Mah.,1,0,40,0,2,17000
Beykoz,Paşabahçe Mah.,2,1,70,15,0,20000
Esenyurt,Üçevler Mah.,2,1,90,5,0,12500
Kağıthane,Hürriyet Mah.,15,0,120,20,2,5000
Üsküdar,Selami Ali Mah.,2,1,100,35,2,22000
Sarıyer,Maden Mah.,4,1,270,7,0,135000
Şişli,Cumhuriyet Mah.,1,1,90,11,21,45000
Şişli,19 Mayıs Mah.,2,1,75,20,1,23000
Kağıthane,Hamidiye Mah.,1,0,30,11,1,12000
Şişli,Cumhuriyet Mah.,2,1,90,6,5,40000
Avcılar,Cihangir Mah.,1,1,60,20,-1,7000
Kadıköy,Feneryolu Mah.,2,1,100,31,2,31500
Güngören,Merkez Mah.,2,1,100,26,2,25000
Sarıyer,Maden Mah.,2,1,140,3,2,80000
Sarıyer,Maslak Mah.,3,1,170,9,0,100000
Ümraniye,Çakmak Mah.,2,1,95,16,0,18500
Şişli,İnönü Mah.,2,1,85,26,4,14000
Sarıyer,Maslak Mah.,2,1,145,10,11,70000
Şişli,Fulya Mah.,1,1,100,7,21,65000
Beyoğlu,Çatma Mescit Mah.,1,1,35,40,1,12500
Pendik,Yenişehir Mah.,3,1,130,21,6,25500
Kağıthane,Şirintepe Mah.,2,1,75,7,-1,18000
Şişli,İnönü Mah.,1,1,55,1,1,24000
Bahçelievler,Şirinevler Mah.,2,1,110,8,2,6500
Beykoz,Kavacık Mah.,1,1,60,26,0,16000
Gaziosmanpaşa,Karadeniz Mah.,1,1,92,6,4,24000
Sarıyer,Maslak Mah.,4,1,255,10,7,115000
Beyoğlu,Kuloğlu Mah.,3,1,110,35,4,45000
Sarıyer,Kireçburnu Mah.,3,0,250,0,0,240000
Kadıköy,Osmanağa Mah.,1,0,30,30,2,5000
Sarıyer,Huzur Mah.,3,1,183,6,14,109000
Sarıyer,Maslak Mah.,2,1,165,7,5,75000
Şişli,Cumhuriyet Mah.,2,1,185,5,21,100000
Beykoz,İncirköy Mah.,1,1,70,25,1,12000
Esenyurt,Güzelyurt Mah.,2,1,110,4,0,12000
Beylikdüzü,Kavaklı Mah.,2,1,120,6,2,27000
Kağıthane,Çağlayan Mah.,2,1,80,10,2,23000
Beşiktaş,Ulus Mah.,3,1,180,26,3,180000
Beşiktaş,Kuruçeşme Mah.,2,1,110,5,2,240000
Şişli,Gülbahar Mah.,1,1,72,4,4,37000
Güngören,Gençosman Mah.,3,1,100,0,4,30000
Şişli,Teşvikiye Mah.,1,1,110,1,3,70000
Sarıyer,Huzur Mah.,2,1,130,4,9,65000
Ümraniye,Çamlık Mah.,1,1,75,14,5,28000
Kağıthane,Merkez Mah.,3,1,105,3,1,24000
Eyüpsultan,Göktürk Merkez Mah.,2,1,102,0,2,70000
Gaziosmanpaşa,Karadeniz Mah.,1,1,97,8,12,27000
Esenyurt,Piri Reis Mah.,2,1,86,3,2,16000
Beşiktaş,Levazım Mah.,2,1,169,5,10,275000
Sarıyer,Ayazağa Mah.,1,1,89,10,2,69000
Başakşehir,Kayabaşı Mah.,2,1,85,11,2,23000
Sarıyer,Yeni Mah.,1,1,65,26,3,20000
Küçükçekmece,Atakent Mah.,2,1,75,14,11,26000
Bayrampaşa,Altıntepsi Mah.,1,1,75,35,2,15000
Şişli,Fulya Mah.,1,1,60,9,-1,20000
Büyükçekmece,Pınartepe Mah.,2,1,100,25,4,20000
Kağıthane,Hürriyet Mah.,2,1,100,3,4,37000
Beyoğlu,Kalyoncu Kulluğu Mah.,1,0,35,70,3,17000
Beykoz,Ortaçeşme Mah.,1,1,80,25,0,15500
Esenyurt,Yeşilkent Mah.,2,1,110,9,10,12000
Beylikdüzü,Kavaklı Mah.,2,1,95,5,5,17000
Beykoz,Kavacık Mah.,3,1,140,25,0,25000
Kağıthane,Gürsel Mah.,1,1,75,0,1,20000
Sarıyer,Sarıyer Merkez Mah.,3,1,190,16,5,40000
Sarıyer,Maslak Mah.,2,1,165,8,21,140000
Fatih,Ayvansaray Mah.,1,0,35,5,1,16000
Küçükçekmece,Gültepe Mah.,1,0,30,35,-1,10000
Şişli,Mecidiyeköy Mah.,2,1,85,16,0,30000
Sarıyer,Maslak Mah.,2,1,145,5,21,70000
Şişli,İnönü Mah.,1,1,50,11,7,17000
Bağcılar,100. Yıl Mah.,1,1,85,20,1,17500
Kağıthane,Seyrantepe Mah.,2,1,90,26,1,25000
Sarıyer,Maslak Mah.,3,1,170,12,6,85000
Beykoz,Rüzgarlıbahçe Mah.,1,1,85,4,1,25000
Eyüpsultan,Karadolap Mah.,2,1,85,2,8,26500
