district,neighborhood,room,living room,area (m2),age,floor,price
Fatih,Koca Mustafapaşa Mah.,2,1,78,45,-1,13000
Fatih,Şehremini Mah.,2,1,90,34,2,20000
Bakırköy,Şenlikköy Mah.,3,1,133,0,2,90000
Sarıyer,Maslak Mah.,1,1,70,7,21,55000
Kadıköy,Osmanağa Mah.,1,0,30,30,3,5000
Sarıyer,Maslak Mah.,3,1,181,10,10,90000
Ümraniye,Necip Fazıl Mah.,2,1,85,30,0,15000
Fatih,Ayvansaray Mah.,1,0,27,25,2,16000
Şişli,Halaskargazi Mah.,1,3,190,35,1,60000
Beşiktaş,Bebek Mah.,4,1,240,45,0,190000
Beykoz,Acarlar Mah.,2,1,172,0,12,75000
Sarıyer,Kireçburnu Mah.,1,1,80,25,0,24000
Sarıyer,Maslak Mah.,2,1,135,7,10,75000
Ataşehir,İnönü Mah.,1,1,60,4,5,22000
Pendik,Güzelyalı Mah.,3,1,130,24,4,18000
Kağıthane,Seyrantepe Mah.,2,1,120,10,1,35000
Pendik,Kaynarca Mah.,3,1,125,4,9,45000
Maltepe,Altayçeşme Mah.,4,2,200,10,9,80000
Eyüpsultan,Göktürk Merkez Mah.,2,1,148,0,4,70000
Kağıthane,Merkez Mah.,2,1,140,1,2,74500
Beyoğlu,Asmalı Mescit Mah.,2,1,120,100,2,95000
Beykoz,Kavacık Mah.,3,1,130,16,4,37000
Beşiktaş,Levent Mah.,3,1,280,5,21,130000
Şişli,Gülbahar Mah.,2,1,95,26,-2,16000
Maltepe,Çınar Mah.,2,1,100,0,3,39000
Şişli,Cumhuriyet Mah.,2,1,148,5,21,110000
Esenyurt,Hürriyet Mah.,2,1,110,10,0,10000
Eyüpsultan,Mithatpaşa Mah.,6,2,700,5,0,280000
Üsküdar,Bahçelievler Mah.,3,1,120,26,5,20000
Bakırköy,Yeşilyurt Mah.,1,1,85,3,0,50000
Kadıköy,Fikirtepe Mah.,2,1,150,4,4,60000
Bahçelievler,Siyavuşpaşa Mah.,2,1,75,35,0,17000
Küçükçekmece,Söğütlü Çeşme Mah.,2,1,75,3,1,20000
Esenyurt,Zafer Mah.,2,1,110,7,14,15000
Kadıköy,Erenköy Mah.,2,1,74,2,4,66920
Tuzla,Mimar Sinan Mah.,1,1,60,11,12,19000
Beşiktaş,Gayrettepe Mah.,3,1,150,31,4,53000
Kağıthane,Seyrantepe Mah.,2,1,80,5,0,20000
Kağıthane,Çeliktepe Mah.,2,1,150,31,4,17000
Çekmeköy,Merkez Mah.,3,1,130,8,1,26750
Esenyurt,Mehterçeşme Mah.,2,1,95,5,5,20000
